t_s,true_n_m,true_e_m,true_vn_mps,true_ve_mps,true_alt_m,roll_rad,pitch_rad,yaw_rad,gyro_x_radps,gyro_y_radps,gyro_z_radps,acc_x_mps2,acc_y_mps2,range_m,of_dt_s,of_integrated_x_rad,of_integrated_y_rad,of_integrated_xgyro_rad,of_integrated_ygyro_rad,of_integrated_zgyro_rad,of_quality,texture_class,light_lux,gps_available,gps_vn_mps,gps_ve_mps
0.0,0.0,0.001,0.0,0.1,1.05,0.0,0.032,0.0,0.04723039486467042,0.017546604690687365,0.02067257940124879,0.10466194402166863,-0.08064171809045435,1.0548361317941897,0.04,-0.0025255756193866075,0.0005053809160165584,0.0018892157945868168,0.0007018641876274947,0.0008269031760499517,232.03682370795855,textured_floor,461.2032770158248,1,-0.09410376498707038,0.09586328950770086
0.01,8.028457764131412e-06,0.0020022810508158106,0.0008028457764131412,0.10022810508158106,1.0504383002848947,0.0004990555966525902,0.03214554246113144,0.00020563147441675088,0.04771947906795023,0.010880012363261677,0.019415217025044566,-0.0028950168164929985,0.016818857513300842,1.0476045752208316,,,,,,,,textured_floor,441.19846436390065,1,0.05483918283830988,0.14822107760948028
0.02,2.4085032526379804e-05,0.003006835615096143,0.001605657476224839,0.10045545642803323,1.0508765852031874,0.000998025833881316,0.03228990789049215,0.00041126268046972204,0.04905302180505188,0.018242660744098263,0.026760370896159742,0.14035549926955065,-0.08301091918868513,1.0433855241832453,,,,,,,,textured_floor,430.7858011375145,1,-0.026636858496940967,0.0571309845559869
0.03,4.816904277591891e-05,0.00401365608103077,0.002408401024953911,0.10068204659346268,1.0513148393891762,0.0014968253740234366,0.032433065159415984,0.000616893349795484,0.05103201813781789,0.01695207689895048,0.02164398998311613,0.15557683056046206,0.10352076221269506,1.0538669095225186,,,,,,,,textured_floor,441.1894613546114,1,0.03086243766345009,0.12843974170716882
0.04,8.027946629951446e-05,0.005022734762411083,0.0032110423523595546,0.10090786813803138,1.051753047478959,0.0019953689229323225,0.03257498319358477,0.0008225232140313077,0.05022536495532817,0.010927260624113847,0.01861708210439919,-0.07574235442270524,0.22670389880322575,1.0535591235675008,0.04,-0.0015747148345164569,0.0019084768339431874,0.002009014598213127,0.0004370904249645539,0.0007446832841759677,215.4637165423053,textured_floor,462.3204443795917,1,0.06660999639026483,0.16216630900329876
0.05,0.00012041494024512615,0.0060340638986930845,0.004013547394561168,0.10113291362820007,1.052191194111333,0.0024935712517201716,0.032715630979681186,0.0010281520048155148,0.052216146729368536,0.016121169496863624,0.013330707415072137,-0.02382853441471411,0.04709832048746328,1.0370593420526095,,,,,,,,textured_floor,459.04306213829665,1,-0.014400173098439585,0.10673756370126931
0.06,0.00016857376120670356,0.007047635655062797,0.004815882096157743,0.10135717563697136,1.0526292639286954,0.002991347218482326,0.032854977572035905,0.001233779453787828,0.045251280744983975,0.018226940819561346,0.019773830104663215,0.09057498237792405,-0.04250779919658838,1.062233463984001,,,,,,,,textured_floor,451.1865837356948,1,-0.08310925604704184,0.10879412204419271
0.07,0.0002247538853301703,0.008063442122504124,0.005618012412346673,0.10158064674413264,1.0530672415779407,0.0034886117899970625,0.032992992099267565,0.0014394052925897213,0.05128405700280637,0.014047893640637212,0.018255194288151488,0.05504682594769256,-0.19450059526547675,1.0709973258466365,,,,,,,,textured_floor,464.23321782557304,1,-0.007971199946388063,0.02018113596014956
0.08,0.0002889529284405885,0.009081475317869113,0.006419904311041821,0.10180331953649897,1.0535051117113625,0.0039852800633947295,0.03312964377091412,0.001645029252864769,0.046663913368751406,0.010305438723774447,0.018106444893310814,0.0789971840739576,-0.12666161152274324,1.0670005515198633,0.04,-0.003031988895974655,0.0012400661870352009,0.0018665565347500562,0.00041221754895097787,0.0007242577957324326,227.151112355016,textured_floor,452.18462726821843,1,-0.002910428794723601,0.09621590474650704
0.09,0.000361168166190496,0.01010172718395067,0.007221523774990749,0.10202518660815582,1.0539428589875501,0.004481267287790143,0.0332649018840543,0.0018506510662589985,0.04898710551564729,0.014165626170436641,0.024332505772639585,0.01208936705741366,0.13238720039013543,1.0592623648095743,,,,,,,,textured_floor,445.0223078539096,1,0.03692838280838321,0.13188782454005762
0.1,0.00044139653422940484,0.011124189589557689,0.008022836803890881,0.10224624056070179,1.0543804680722881,0.004976488885872122,0.03339873582991758,0.0020562704644212382,0.056311713891721286,0.015520463808888567,0.020880748279320554,0.1506728864257933,-0.07443506459502149,1.048232826326653,,,,,,,,textured_floor,426.46795828805267,1,-0.026291567128821247,0.07602890625860077
0.11,0.0005296346283944503,0.0121488543295926,0.008823809416504552,0.10246647400349115,1.0548179236394535,0.005470860475444072,0.03353111510048135,0.002261887179003469,0.043797479016808756,0.0098435954543536,0.013831742934289298,0.14252913457670485,-0.021865183105186002,1.0573611135226668,,,,,,,,textured_floor,469.06963783415176,1,-0.02855323194065779,0.07930440217440475
0.12,0.0006258787049221773,0.013175713125131364,0.009624407652772702,0.10268587955387636,1.0552552103719144,0.005964297890909577,0.03366200929505391,0.002467500941661174,0.04817496658888407,0.008983075562706791,0.023036542639690096,0.08556953274573635,0.060128308498651875,1.0539002193082971,0.04,-0.002057347544343023,-0.0005546620759938736,0.0019269986635553629,0.00035932302250827166,0.0009214617055876039,229.55425409315885,textured_floor,448.55898408807354,1,-0.013508891895529417,0.13383080045300474
0.13,0.0007301246806814491,0.014204757623505869,0.010424597575927171,0.1029044498374504,1.0556923129624252,0.006456717204696903,0.03379138812684173,0.0026731114840536883,0.044088259796098386,0.014947096089716368,0.01423273317486112,0.17044423856309077,0.12618533908039586,1.0581818614430787,,,,,,,,textured_floor,443.2289711307538,1,0.03273859643398355,0.12425119134911186
0.14,0.0008423681334274625,0.015235979398388758,0.011224345274601331,0.10312217748828886,1.0561292161145244,0.006948034748616395,0.03391922142949976,0.0028787185378445503,0.04968476842059935,0.015997823648174817,0.023333796813471964,0.11764012450322676,-0.008465569487257766,1.0708092088032428,,,,,,,,textured_floor,448.4599673733036,1,0.0652219156362023,0.13109039535409575
